PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev
3651000,36005045600,3651000-36005045600,11.4,32.4,29.1
3651000,36005045800,3651000-36005045800,17.2,36.4,37.9
3651000,36005046000,3651000-36005046000,17.4,36.8,36.5
3651000,36005046201,3651000-36005046201,16.2,37.9,31.4
3651000,36005046202,3651000-36005046202,15.9,35.4,33.8
3651000,36005048400,3651000-36005048400,12.9,32.3,32.0
3651000,36005051600,3651000-36005051600,8.7,35.8,21.8
3651000,36047000100,3651000-36047000100,8.0,34.5,18.7
3651000,36047000200,3651000-36047000200,12.5,35.0,29.3
3651000,36047000301,3651000-36047000301,7.1,33.5,18.7
3651000,36047000501,3651000-36047000501,5.3,28.1,15.4
3651000,36047000502,3651000-36047000502,5.4,29.6,16.1
3651000,36047000700,3651000-36047000700,4.4,26.7,15.6
3651000,36047000900,3651000-36047000900,3.8,23.6,14.7
3651000,36047001100,3651000-36047001100,5.9,25.5,17.0
3651000,36047001300,3651000-36047001300,8.9,33.7,21.9
3651000,36047001500,3651000-36047001500,7.7,27.5,22.4
3651000,36047001800,3651000-36047001800,8.1,28.0,28.8
3651000,36047002000,3651000-36047002000,10.5,32.4,26.2
3651000,36047002100,3651000-36047002100,3.7,23.6,16.8
3651000,36047002200,3651000-36047002200,13.5,38.6,25.0
3651000,36047002300,3651000-36047002300,18.7,40.2,32.6
3651000,36047002901,3651000-36047002901,18.4,39.4,33.8
3651000,36047003000,3651000-36047003000,7.6,33.6,18.2
3651000,36047003100,3651000-36047003100,9.5,32.2,17.6
3651000,36047003300,3651000-36047003300,5.5,25.0,19.2
3651000,36047003400,3651000-36047003400,8.9,36.0,19.4
3651000,36047003500,3651000-36047003500,6.9,27.2,20.6
3651000,36047003600,3651000-36047003600,7.2,33.1,17.4
3651000,36047003700,3651000-36047003700,3.8,21.2,15.1
3651000,36047003800,3651000-36047003800,7.5,35.1,17.5
3651000,36047003900,3651000-36047003900,6.4,28.0,19.0
3651000,36047004100,3651000-36047004100,6.4,29.3,18.0
3651000,36047004300,3651000-36047004300,4.9,25.4,17.1
3651000,36047004400,3651000-36047004400,7.5,36.2,16.8
3651000,36047004500,3651000-36047004500,4.6,27.6,15.9
3651000,36047004600,3651000-36047004600,7.2,35.2,16.7
3651000,36047004700,3651000-36047004700,6.2,27.9,19.7
3651000,36047004900,3651000-36047004900,6.3,29.7,16.0
3651000,36047005000,3651000-36047005000,6.5,33.3,16.8
3651000,36047005100,3651000-36047005100,5.2,26.9,17.8
3651000,36047005201,3651000-36047005201,13.8,45.6,18.6
3651000,36047005202,3651000-36047005202,7.4,35.2,18.0
3651000,36047005300,3651000-36047005300,8.0,30.9,23.1
3651000,36047005400,3651000-36047005400,8.2,35.4,19.1
